"date","cases","deaths"
2020-02-29,10,1
2020-03-07,391,16
2020-03-14,2535,43
2020-03-21,23032,420
2020-03-28,101281,2534
2020-04-04,196548,8572
2020-04-11,221348,14705
2020-04-18,197556,15212
2020-04-25,205671,15401
2020-05-02,192161,13337
2020-05-09,175411,12204
2020-05-16,155265,9866
2020-05-23,152494,8392
2020-05-30,144748,6456
2020-06-06,149538,5873
2020-06-13,148769,5065
2020-06-20,182894,4149
2020-06-27,260203,3865
2020-07-04,336568,3684
2020-07-11,404300,5295
2020-07-18,453411,5566
2020-07-25,462061,6463
2020-08-01,435219,7893
2020-08-08,388547,7266
2020-08-15,391413,7067
2020-08-22,301577,6155
2020-08-29,290293,6290
2020-09-05,286660,5822
2020-09-12,244709,5119
2020-09-19,290262,5394
2020-09-26,293886,5314
2020-10-03,300743,4891
2020-10-10,334576,5020
2020-10-17,388428,5127
2020-10-24,484808,5883
2020-10-31,571688,6076
2020-11-07,776765,7491
2020-11-14,1027333,8108
2020-11-21,1203171,10948
2020-11-28,1180432,11069
2020-12-05,1365453,15743
2020-12-12,1511239,17330
2020-12-19,1551216,18925
2020-12-26,1363734,16423
2021-01-02,1499339,18801
2021-01-09,1732573,22236
2021-01-16,1561361,23425
2021-01-23,1222483,21727
2021-01-30,1056255,21857
2021-02-06,851179,21367
2021-02-13,659497,17536
2021-02-20,473578,13132
2021-02-27,482737,14028
2021-03-06,423728,11895
2021-03-13,379801,8698
2021-03-20,386150,7052
2021-03-27,431434,6926
2021-04-03,459727,5788
2021-04-10,479742,6870
2021-04-17,478433,5028
2021-04-24,413846,5034
2021-05-01,349005,4869
2021-05-08,293410,4660
2021-05-15,236627,4013
2021-05-22,180772,3877
2021-05-29,145504,4480
2021-06-05,101864,3267
2021-06-12,98907,2455
2021-06-19,80719,2072
2021-06-26,86831,2100
2021-07-03,91051,1667
2021-07-10,134036,1583
2021-07-17,223083,1909
2021-07-24,363972,1921
2021-07-31,554158,2570
2021-08-07,778850,3671
2021-08-14,911726,4664
2021-08-21,1047666,7305
2021-08-28,1088166,9164
2021-09-04,1153279,11181
2021-09-11,1041446,11963
2021-09-18,1021696,14144
2021-09-25,834464,14492
2021-10-02,759358,13835
2021-10-09,667022,11747
2021-10-16,589427,11752
2021-10-23,512151,11836
2021-10-30,506003,9393
2021-11-06,516152,8630
2021-11-13,569276,8523
2021-11-20,647278,8056
2021-11-27,505857,5760
2021-12-04,848474,12076
2021-12-11,832330,9100
2021-12-18,911822,9315
2021-12-25,1373051,10301
2022-01-01,2875053,9474
2022-01-08,4975068,12320
2022-01-15,5647475,14405
2022-01-22,5033519,15367
2022-01-29,3745534,17854
2022-02-05,2105155,17586
2022-02-12,1259207,16458
2022-02-19,727359,15678
2022-02-26,464347,12415
2022-03-05,336825,9976
2022-03-12,237150,9037
2022-03-19,215074,7247
2022-03-26,210039,5415
2022-04-02,198712,4490
2022-04-09,243915,3898
2022-04-16,234333,3120
2022-04-23,343504,2568
2022-04-30,379794,2368
2022-05-07,519492,3577
2022-05-14,578346,1859
2022-05-21,811652,2475
2022-05-28,714562,2650
2022-06-04,772920,1989
2022-06-11,734899,2766
2022-06-18,731147,2191
2022-06-25,707745,2435
2022-07-02,815268,1901
2022-07-09,732943,2968
2022-07-16,946148,2983
2022-07-23,861971,3170
2022-07-30,938004,3025
2022-08-06,782916,3566
2022-08-13,807581,3378
2022-08-20,598991,3354
2022-08-27,662353,3470
2022-09-03,550281,3632
2022-09-10,495492,2786
2022-09-17,409619,3098
2022-09-24,402727,2996
2022-10-01,325851,3183
2022-10-08,301112,2921
2022-10-15,250947,2491
2022-10-22,259090,2704
2022-10-29,262217,2579
2022-11-05,286224,2341
2022-11-12,262217,1935
2022-11-19,312302,2530
2022-11-26,260106,2140
2022-12-03,410754,2311
2022-12-10,446907,2967
2022-12-17,483314,2989
2022-12-24,472962,2756
2022-12-31,386306,2556
2023-01-07,501857,3050
2023-01-14,375070,4187
2023-01-21,354529,4172
2023-01-28,277984,3492
2023-02-04,329156,4014
2023-02-11,255087,2814
2023-02-18,274924,3050
2023-02-25,246521,1990
2023-03-04,269649,2585
